id bigserial;origen_libro_id;origen_capitulo;origen_versiculo;destino_libro_id;destino_capitulo;destino_versiculo;llave_unica text
;41;10;26;42;13;23;41_10_26_42_13_23
;41;10;26;42;18;26;41_10_26_42_18_26
;41;10;26;44;16;31;41_10_26_44_16_31
;41;10;26;45;10;13;41_10_26_45_10_13
;41;10;26;45;10;9;41_10_26_45_10_9
;41;10;26;47;11;23;41_10_26_47_11_23
;41;10;27;1;18;13;41_10_27_1_18_13
;41;10;27;1;18;14;41_10_27_1_18_14
;41;10;27;12;7;2;41_10_27_12_7_2
;41;10;27;18;42;2;41_10_27_18_42_2
;41;10;27;24;32;17;41_10_27_24_32_17
;41;10;27;24;32;27;41_10_27_24_32_27
;41;10;27;38;8;6;41_10_27_38_8_6
;41;10;27;40;19;26;41_10_27_40_19_26
;41;10;27;4;11;21;41_10_27_4_11_21
;41;10;27;4;11;23;41_10_27_4_11_23
;41;10;27;42;1;37;41_10_27_42_1_37
;41;10;27;42;18;27;41_10_27_42_18_27
;41;10;27;50;3;21;41_10_27_50_3_21
;41;10;27;58;11;19;41_10_27_58_11_19
;41;10;27;58;7;25;41_10_27_58_7_25
;41;10;28;40;19;27;41_10_28_40_19_27
;41;10;28;40;19;30;41_10_28_40_19_30
;41;10;28;40;4;20;41_10_28_40_4_20
;41;10;28;40;4;22;41_10_28_40_4_22
;41;10;28;41;1;16;41_10_28_41_1_16
;41;10;28;41;1;20;41_10_28_41_1_20
;41;10;28;42;14;33;41_10_28_42_14_33
;41;10;28;42;18;28;41_10_28_42_18_28
;41;10;28;42;18;30;41_10_28_42_18_30
;41;10;28;50;3;7;41_10_28_50_3_7
;41;10;28;50;3;9;41_10_28_50_3_9
;41;10;29;1;12;1;41_10_29_1_12_1
;41;10;29;1;12;3;41_10_29_1_12_3
;41;10;29;1;45;20;41_10_29_1_45_20
;41;10;29;40;10;18;41_10_29_40_10_18
;41;10;29;40;5;10;41_10_29_40_5_10
;41;10;29;40;5;11;41_10_29_40_5_11
;41;10;29;41;8;35;41_10_29_41_8_35
;41;10;29;42;22;28;41_10_29_42_22_28
;41;10;29;42;22;30;41_10_29_42_22_30
;41;10;29;46;9;23;41_10_29_46_9_23
;41;10;29;5;33;11;41_10_29_5_33_11
;41;10;29;5;33;9;41_10_29_5_33_9
;41;10;29;58;11;24;41_10_29_58_11_24
;41;10;29;58;11;26;41_10_29_58_11_26
;41;10;29;66;2;3;41_10_29_66_2_3
;41;10;3;23;8;20;41_10_3_23_8_20
;41;10;3;42;10;25;41_10_3_42_10_25
;41;10;3;43;5;39;41_10_3_43_5_39
;41;10;3;48;4;21;41_10_3_48_4_21
;41;10;30;14;25;9;41_10_30_14_25_9
;41;10;30;19;84;11;41_10_30_19_84_11
;41;10;30;20;16;16;41_10_30_20_16_16
;41;10;30;20;3;10;41_10_30_20_3_10
;41;10;30;20;3;9;41_10_30_20_3_9
;41;10;30;39;3;10;41_10_30_39_3_10
;41;10;30;40;12;32;41_10_30_40_12_32
;41;10;30;40;13;44;41_10_30_40_13_44
;41;10;30;40;13;46;41_10_30_40_13_46
;41;10;30;40;5;11;41_10_30_40_5_11
;41;10;30;40;5;12;41_10_30_40_5_12
;41;10;30;40;6;33;41_10_30_40_6_33
;41;10;30;42;18;30;41_10_30_42_18_30
;41;10;30;43;10;23;41_10_30_43_10_23
;41;10;30;43;16;22;41_10_30_43_16_22
;41;10;30;43;16;23;41_10_30_43_16_23
;41;10;30;44;16;25;41_10_30_44_16_25
;41;10;30;44;5;41;41_10_30_44_5_41
;41;10;30;45;5;3;41_10_30_45_5_3
;41;10;30;45;6;23;41_10_30_45_6_23
;41;10;30;47;6;10;41_10_30_47_6_10
;41;10;30;47;9;11;41_10_30_47_9_11
;41;10;30;47;9;8;41_10_30_47_9_8
;41;10;30;50;3;8;41_10_30_50_3_8
;41;10;30;53;2;16;41_10_30_53_2_16
;41;10;30;54;6;6;41_10_30_54_6_6
;41;10;30;59;1;12;41_10_30_59_1_12
;41;10;30;59;1;2;41_10_30_59_1_2
;41;10;30;59;1;4;41_10_30_59_1_4
;41;10;30;59;5;11;41_10_30_59_5_11
;41;10;30;60;4;12;41_10_30_60_4_12
;41;10;30;60;4;16;41_10_30_60_4_16
;41;10;30;62;2;25;41_10_30_62_2_25
;41;10;30;62;3;1;41_10_30_62_3_1
;41;10;30;66;2;9;41_10_30_66_2_9
;41;10;30;66;3;18;41_10_30_66_3_18
